epoch,train_loss,train_accuracy,test_accuracy
0,2.2237517833709717,0.6944453125000001,0.64825625
1,2.056330680847168,0.9554546875000003,0.9150437500000004
2,1.8999912738800049,0.974492187499999,0.9383624999999988
3,1.7540955543518066,0.9769843750000001,0.9426749999999988
4,1.6192355155944824,0.9799406250000006,0.9460750000000014
5,1.495267391204834,0.9815859375000008,0.9487625000000004
6,1.38201105594635,0.9816796875000006,0.9513125000000012
7,1.2788795232772827,0.9836515624999997,0.9516500000000011
8,1.1851364374160767,0.9848906250000009,0.9515375000000007
9,1.1001570224761963,0.985621875,0.9519375000000008
