epoch,train_loss,train_accuracy,test_accuracy
0,2.302643299102783,0.10451093750000004,0.09507499999999997
1,2.3018994331359863,0.11410781249999995,0.10226875000000002
2,2.3011677265167236,0.1241734375000001,0.11001249999999997
3,2.3004374504089355,0.1334375,0.12050625000000005
4,2.2997074127197266,0.14474375000000006,0.12784375000000014
5,2.298973321914673,0.1565078125,0.13686249999999997
6,2.2982332706451416,0.16915468749999998,0.14641249999999995
7,2.2974812984466553,0.18185156249999984,0.15565625000000013
8,2.29671311378479,0.19590625000000003,0.1652687499999999
9,2.2959280014038086,0.209378125,0.17771874999999973
0,2.300814390182495,0.1324546875,0.12118124999999998
1,2.2931668758392334,0.25831562500000005,0.22090624999999992
2,2.2834360599517822,0.4049453124999999,0.3413562499999999
3,2.2708077430725098,0.5480156250000001,0.47329375
4,2.2566640377044678,0.6702906249999999,0.58598125
5,2.242032289505005,0.762853125,0.6784000000000003
6,2.227613925933838,0.8258859375000001,0.7450749999999999
7,2.2135281562805176,0.8677171874999996,0.7839999999999995
8,2.1997978687286377,0.8979640625000002,0.814093750000001
9,2.18636155128479,0.9184937500000003,0.8359437500000001
0,2.27233624458313,0.5007296875000001,0.4607312499999998
1,2.1419787406921387,0.9140015625,0.8801750000000004
2,2.009228467941284,0.9652234375000003,0.9315875
3,1.8885140419006348,0.9740265625000001,0.9396249999999982
4,1.7753121852874756,0.9781781249999995,0.9439624999999983
5,1.6688472032546997,0.9805562499999998,0.9458812500000018
6,1.568543553352356,0.9822765625000004,0.9471000000000014
7,1.4742918014526367,0.9830218750000003,0.95016875
8,1.3859370946884155,0.9845625,0.9538812499999993
9,1.3033021688461304,0.9854250000000003,0.9545874999999989
0,1.911545753479004,0.7597796875000005,0.7298250000000008
1,1.1310418844223022,0.9119953125000001,0.8672374999999997
2,0.641878604888916,0.9901374999999994,0.953549999999998
3,0.4115941524505615,0.9943234374999993,0.9621625000000006
4,0.2937159836292267,0.995956249999999,0.9619500000000003
5,0.22223617136478424,0.9970468749999997,0.9632937500000012
6,0.17482714354991913,0.9975125000000021,0.9640500000000006
7,0.1415090411901474,0.9976687500000005,0.9662437500000012
8,0.11713586747646332,0.99788125,0.9660500000000014
9,0.09866046905517578,0.9981875000000012,0.9660500000000016
0,1.1787819862365723,0.6822015625000002,0.6713500000000002
1,0.5653289556503296,0.7914562499999996,0.7781125000000005
2,0.3251641094684601,0.884828125,0.8597312500000013
3,0.2529586851596832,0.8962890625000006,0.8714187500000017
4,0.24697576463222504,0.896718750000001,0.8723750000000016
5,0.24451833963394165,0.8966578125000013,0.8744062500000003
6,0.2440047264099121,0.896718750000001,0.872856250000001
7,0.24418580532073975,0.8965937500000016,0.8744937500000003
8,0.24301977455615997,0.896764062499998,0.8739562500000005
9,0.24163036048412323,0.8968749999999992,0.8736000000000008

