epoch,train_loss,train_accuracy,test_accuracy
0,2.1244232654571533,0.8606953124999999,0.8358312500000005
1,1.9039076566696167,0.9669250000000005,0.9298187500000011
2,1.7451844215393066,0.9739484375000004,0.9377999999999993
3,1.6051615476608276,0.9760124999999998,0.9421312499999988
4,1.4773354530334473,0.9774843750000006,0.9452312500000017
5,1.3596773147583008,0.9792062499999993,0.9460125000000016
6,1.2512589693069458,0.9792078124999994,0.9466625000000012
7,1.1516469717025757,0.9807593750000005,0.9471250000000009
8,1.0603439807891846,0.9823484374999998,0.9484375000000008
9,0.9768465161323547,0.9828343749999996,0.9501500000000014
