epoch,train_loss,train_accuracy,test_accuracy
0,1.9804916381835938,0.6895375000000001,0.6644624999999991
1,1.1406371593475342,0.8242390625000003,0.7897750000000001
2,0.5962103605270386,0.8900093749999997,0.8488749999999992
3,0.42131510376930237,0.8978203124999987,0.8513250000000011
4,0.34568214416503906,0.8998234374999989,0.8538625000000001
5,0.26530885696411133,0.9439390625000006,0.8845437499999999
6,0.08752784132957458,0.9977812499999986,0.9587687499999987
7,0.04905964061617851,0.9989062500000009,0.9607750000000006
8,0.03419364616274834,0.9989734374999973,0.9606875000000015
9,0.025551917031407356,0.9990624999999983,0.9633312500000011
