epoch,train_loss,train_accuracy,test_accuracy
0,2.22916316986084,0.6537624999999998,0.6045750000000001
1,2.0617260932922363,0.9563140625,0.9065062499999997
2,1.9054069519042969,0.9761328124999997,0.9363999999999996
3,1.759456753730774,0.9795671874999998,0.9463125000000012
4,1.6244163513183594,0.9808828125000006,0.9471375000000003
5,1.5002413988113403,0.9809203125000009,0.9467500000000011
6,1.3866733312606812,0.9823187499999999,0.9498062500000017
7,1.283198595046997,0.9830718749999989,0.9507125000000011
8,1.1891968250274658,0.9843171875000002,0.951506250000001
9,1.1039267778396606,0.9849625000000009,0.9521875000000005
