epoch,train_loss,train_accuracy,test_accuracy
0,2.0970048904418945,0.421478125,0.4159812499999997
1,1.5087629556655884,0.5484328125000002,0.53430625
2,1.1857285499572754,0.6552265625,0.6053875
3,0.7621869444847107,0.8986374999999999,0.8359437500000009
4,0.3876418173313141,0.9901015624999995,0.9422812500000006
5,0.21440914273262024,0.9968812499999998,0.9538249999999988
6,0.1368701010942459,0.9983156249999996,0.9585625000000003
7,0.09624464809894562,0.9988125000000007,0.9613125000000009
8,0.07235340029001236,0.9990124999999982,0.9627625000000011
9,0.05676451325416565,0.9990624999999983,0.9631937500000012
