epoch,train_loss,train_accuracy,test_accuracy
0,2.2310407161712646,0.6483140624999999,0.602325
1,2.0680975914001465,0.9559359374999997,0.9078187499999995
2,1.9250552654266357,0.9774140625000008,0.9386187499999985
3,1.8021612167358398,0.9823906249999997,0.9458937500000014
4,1.6979782581329346,0.9837984374999996,0.949375
5,1.6097819805145264,0.9847609375000002,0.9512250000000013
6,1.5348806381225586,0.9856343750000002,0.9531874999999996
7,1.4708863496780396,0.9864093749999999,0.9548937499999987
8,1.4157427549362183,0.9874093749999997,0.9573499999999993
9,1.3678596019744873,0.9880093749999994,0.9582499999999992
