epoch,train_loss,train_accuracy,test_accuracy
0,2.2614798545837402,0.5600796874999997,0.5157187499999999
1,2.1326889991760254,0.9317984374999999,0.8834062499999996
2,2.005703926086426,0.9704125000000002,0.9335812499999995
3,1.88759183883667,0.9778265625000002,0.9460687500000003
4,1.7760305404663086,0.9800953125000003,0.9454062500000003
5,1.6704683303833008,0.9815265624999998,0.9484375000000003
6,1.5707981586456299,0.9832343749999999,0.95291875
7,1.4769760370254517,0.9837312500000002,0.9552187499999987
8,1.3888719081878662,0.9852453125000002,0.9562812499999981
9,1.3064205646514893,0.9856609375000008,0.9561562499999983
